date,state,Sum of accumulate_cases,total recovered,Sum of accumulate_deaths,Sum of deaths_new,Sum of cases_new,recovered_per_day
16-03-20,Johor,52,0,0,0,52,0
17-03-20,Johor,77,0,1,1,25,0
18-03-20,Johor,88,0,1,0,11,0
19-03-20,Johor,101,0,1,0,13,0
20-03-20,Johor,114,0,1,0,13,0
21-03-20,Johor,129,0,1,0,15,0
22-03-20,Johor,145,0,1,0,16,0
23-03-20,Johor,158,0,2,1,13,0
24-03-20,Johor,162,0,2,0,4,0
25-03-20,Johor,196,0,5,3,34,0
26-03-20,Johor,239,3,6,1,43,3
27-03-20,Johor,259,3,6,0,20,0
28-03-20,Johor,285,19,7,1,26,16
29-03-20,Johor,309,19,9,2,24,0
30-03-20,Johor,333,41,9,0,24,22
31-03-20,Johor,349,41,10,1,16,0
01-04-20,Johor,368,41,10,0,19,0
02-04-20,Johor,395,55,13,3,27,14
03-04-20,Johor,416,66,13,0,21,11
04-04-20,Johor,422,78,13,0,6,12
05-04-20,Johor,438,88,13,0,16,10
06-04-20,Johor,468,115,13,0,30,27
07-04-20,Johor,478,134,13,0,10,19
08-04-20,Johor,496,148,13,0,18,14
09-04-20,Johor,503,175,13,0,7,27
10-04-20,Johor,523,219,13,0,20,44
11-04-20,Johor,544,232,13,0,21,13
12-04-20,Johor,558,251,13,0,14,19
13-04-20,Johor,579,279,13,0,21,28
14-04-20,Johor,587,292,15,2,8,13
15-04-20,Johor,601,292,15,0,14,0
16-04-20,Johor,614,292,15,0,13,0
17-04-20,Johor,623,292,15,0,9,0
18-04-20,Johor,639,292,15,0,16,0
19-04-20,Johor,642,293,16,1,3,1
20-04-20,Johor,644,294,16,0,2,1
21-04-20,Johor,645,295,16,0,1,1
22-04-20,Johor,648,295,16,0,3,0
23-04-20,Johor,651,295,17,1,3,0
24-04-20,Johor,655,295,17,0,4,0
25-04-20,Johor,655,296,17,0,0,1
26-04-20,Johor,659,297,17,0,4,1
27-04-20,Johor,659,298,18,1,0,1
28-04-20,Johor,660,298,18,0,1,0
29-04-20,Johor,660,299,18,0,0,1
30-04-20,Johor,663,309,18,0,3,10
01-05-20,Johor,666,327,18,0,3,18
02-05-20,Johor,667,336,18,0,1,9
03-05-20,Johor,667,352,18,0,0,16
04-05-20,Johor,667,361,18,0,0,9
05-05-20,Johor,667,368,18,0,0,7
06-05-20,Johor,667,379,18,0,0,11
07-05-20,Johor,667,395,18,0,0,16
08-05-20,Johor,667,407,18,0,0,12
09-05-20,Johor,667,421,18,0,0,14
10-05-20,Johor,667,427,18,0,0,6
11-05-20,Johor,667,435,18,0,0,8
12-05-20,Johor,667,443,18,0,0,8
13-05-20,Johor,667,446,19,1,0,3
14-05-20,Johor,668,450,19,0,1,4
15-05-20,Johor,668,459,19,0,0,9
16-05-20,Johor,668,467,19,0,0,8
17-05-20,Johor,668,475,19,0,0,8
18-05-20,Johor,668,413,19,0,0,12
19-05-20,Johor,669,418,19,0,1,5
20-05-20,Johor,669,420,19,0,0,2
21-05-20,Johor,669,431,19,0,0,11
22-05-20,Johor,669,435,19,0,0,4
23-05-20,Johor,670,452,19,0,1,17
24-05-20,Johor,671,455,19,0,1,3
25-05-20,Johor,671,458,19,0,0,3
26-05-20,Johor,671,464,19,0,0,6
27-05-20,Johor,671,505,19,0,0,41
28-05-20,Johor,671,521,19,0,0,16
29-05-20,Johor,674,528,19,0,3,7
30-05-20,Johor,675,530,19,0,1,2
31-05-20,Johor,675,531,19,0,0,1
01-06-20,Johor,675,533,19,0,0,2
02-06-20,Johor,676,536,19,0,1,3
03-06-20,Johor,676,537,19,0,0,1
04-06-20,Johor,676,537,19,0,0,0
05-06-20,Johor,676,537,20,1,0,0
06-06-20,Johor,676,537,20,0,0,0
07-06-20,Johor,676,537,20,0,0,0
08-06-20,Johor,676,539,20,0,0,2
09-06-20,Johor,676,540,20,0,0,1
10-06-20,Johor,677,540,20,0,1,0
11-06-20,Johor,677,540,20,0,0,0
12-06-20,Johor,678,541,20,0,1,1
